Month;Region;Sales;Profit;Target Sales;Number of Customers;Sales Completion Rate;Sales Growth;Profit Margin
1;North America;400;100;420;8.5;95.2%;N/A;25%
2;Europe;320;80;330;7.2;97.0%;-20.0%;25%
3;Asia-Pacific;250;60;270;6.0;92.6%;-29%;24%
4;North America;420;110;440;9.0;95.5%;+40.0%;26.2%
5;Europe;330;85;340;7.5;97.1%;+3.1%;25.8%
6;Asia-Pacific;260;65;280;6.3;92.9%;+4.0%;25%
7;North America;430;115;450;9.2;95.6%;+2.4%;26.7%
8;Europe;340;90;350;7.8;97.1%;+3.0%;26.5%
9;Asia-Pacific;270;70;290;6.5;93.1%;+3.8%;25.9%
10;North America;440;120;460;9.4;95.7%;+2.3%;27.3%
11;Europe;350;95;360;8.0;97.2%;+2.9%;27.1%
12;Asia-Pacific;280;75;300;6.8;93.3%;+3.7%;26.8%
